id,embed_doc,raw_doc,type_doc
93e798ac-e1bb-4ed3-bb7d-c0aad2623686,"Chương trình hệ đại học: Hệ đại học
Các chương trình đào tạo chuẩn
Đây là các chương trình đào tạo truyền thống mà Trường đã cung cấp gần 30 năm qua. Hiện tại có 2 chương trình:","Chương trình hệ đại học: Hệ đại học
Các chương trình đào tạo chuẩn
Đây là các chương trình đào tạo truyền thống mà Trường đã cung cấp gần 30 năm qua. Hiện tại có 2 chương trình:",Chương trình hệ đại học
62f38799-dafe-4f41-9134-f0d7acc40ba0,"Chương trình hệ đại học: Chương trình Khoa học Máy tính (mã tuyển sinh: IT1)
Cử nhân Khoa học Máy tính (4 năm): theo 2 định hướng phân nhánh ở năm cuối: Công nghệ phần mềm, và Hệ thống thông tin.
Kỹ sư Khoa học Máy tính (+1.5 năm): định hướng chuyên sâu Công nghệ phần mềm, và Hệ thống thông tin.
Chi tiết xem tại đây","Chương trình hệ đại học: Chương trình Khoa học Máy tính (mã tuyển sinh: IT1)
Cử nhân Khoa học Máy tính (4 năm): theo 2 định hướng phân nhánh ở năm cuối: Công nghệ phần mềm, và Hệ thống thông tin.
Kỹ sư Khoa học Máy tính (+1.5 năm): định hướng chuyên sâu Công nghệ phần mềm, và Hệ thống thông tin.
Chi tiết xem tại đây https://soict.hust.edu.vn/chuong-trinh-khoa-hoc-may-tinh-ma-tuyen-sinh-it1.html",Chương trình hệ đại học
ced38c6c-49de-415a-9054-c23c6efdb22c,"Chương trình hệ đại học: Chương trình Kỹ thuật Máy tính (mã tuyển sinh: IT2):
Cử nhân Kỹ thuật Máy tính (4 năm): theo 3 định hướng phân nhánh ở năm cuối: An toàn thông tin, Hệ nhúng và IoT; Mạng máy tính và truyền thông dữ liệu.
Kỹ sư Kỹ thuật Máy tính (+1.5 năm): định hướng chuyên sâu Trí tuệ nhân tạo và IoT; Mạng truyền thông dữ liệu và An toàn bảo mật.
Chi tiết xem tại đây","Chương trình hệ đại học: Chương trình Kỹ thuật Máy tính (mã tuyển sinh: IT2):
Cử nhân Kỹ thuật Máy tính (4 năm): theo 3 định hướng phân nhánh ở năm cuối: An toàn thông tin, Hệ nhúng và IoT; Mạng máy tính và truyền thông dữ liệu.
Kỹ sư Kỹ thuật Máy tính (+1.5 năm): định hướng chuyên sâu Trí tuệ nhân tạo và IoT; Mạng truyền thông dữ liệu và An toàn bảo mật.
Chi tiết xem tại đây https://soict.hust.edu.vn/chuong-trinh-dao-tao-cong-nghe-thong-tin-ky-thuat-may-tinh-it2.html",Chương trình hệ đại học
bbdba8e6-df4f-41bc-897b-7f05835d9399,"Chương trình hệ đại học: Các chương trình đào tạo tiên tiến (Chương trình Elitech)
Đây là các chương trình theo định hướng của Nhà trường, với mục đích phát huy tối đa năng lực người học, hướng tới thị trường lao động quốc tế, Trường hiện đang triển khai các chương trình đào tạo tiên tiến, chất lượng cao, dạy và học bằng ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật):
Chương trình Elitech Công nghệ thông tin Việt Nam – Nhật Bản (HEDSPI, mã tuyển sinh: IT-E6). Chi tiết xem tại đây 
Chương trình Elitech Công nghệ thông tin toàn cầu (Global ICT, mã tuyển sinh: IT-E7). Chi tiết xem tại đây 
Chương trình Elitech Khoa học Dữ liệu và Trí tuệ Nhân tạo (DS-AI, mã tuyển sinh: IT-E10). Chi tiết xem tại đây
Chương trình Elitech Công nghệ thông tin Việt Pháp (mã tuyển sinh: IT-EP). Chi tiết xem tại đây
Chương trình Elitech An toàn không gian số (mã tuyển sinh: IT-E15). Xem chi tiết tại đây
Các chương trình đào tạo đặc biệt của Trường:
Chương trình Cử nhân Tài năng Khoa học máy tính: dành cho những sinh viên xuất sắc nhất, có chí hướng trở thành nhà nghiên cứu, giảng viên và chuyên gia giỏi. Chương trình tuyển sinh viên theo diện tuyển thẳng (đạt giải Olympic quốc gia, quốc tế), hoặc thi tuyển từ các sinh viên đỗ điểm cao vào Trường. Chi tiết chương trình xem tại đây
Chương trình Kỹ sư Trí tuệ nhân tạo Tạo sinh (+1.5 năm): Là chương trình đào tạo đầu tiên tại Việt Nam định hướng chuyên sâu về Gen AI. Với mục tiêu đào tạo những kỹ sư trí tuệ nhân tạo tạo sinh chất lượng cao, chương trình kỹ sư GenAI sẽ mang lại hành trang vững chắc và cơ hội nghề nghiệp rộng mở cho các bạn trẻ đam mê công nghệ. Chi tiết chương trình xem
tại đây","Chương trình hệ đại học: Các chương trình đào tạo tiên tiến (Chương trình Elitech)
Đây là các chương trình theo định hướng của Nhà trường, với mục đích phát huy tối đa năng lực người học, hướng tới thị trường lao động quốc tế, Trường hiện đang triển khai các chương trình đào tạo tiên tiến, chất lượng cao, dạy và học bằng ngoại ngữ (Tiếng Anh, Tiếng Pháp, Tiếng Nhật):
Chương trình Elitech Công nghệ thông tin Việt Nam – Nhật Bản (HEDSPI, mã tuyển sinh: IT-E6). Chi tiết xem tại đây https://soict.hust.edu.vn/chuong-trinh-ky-su-cong-nghe-thong-tin-viet-nam-nhat-ban-hedspi.html
Chương trình Elitech Công nghệ thông tin toàn cầu (Global ICT, mã tuyển sinh: IT-E7). Chi tiết xem tại đây https://soict.hust.edu.vn/chuong-trinh-ky-su-cong-nghe-thong-tin-toan-cau-global-ict.html
Chương trình Elitech Khoa học Dữ liệu và Trí tuệ Nhân tạo (DS-AI, mã tuyển sinh: IT-E10). Chi tiết xem tại đây
https://soict.hust.edu.vn/chuong-trinh-cu-nhan-khoa-hoc-du-lieu-va-tri-tue-nhan-tao-dsai-it-e10.html
Chương trình Elitech Công nghệ thông tin Việt Pháp (mã tuyển sinh: IT-EP). Chi tiết xem tại đây
https://soict.hust.edu.vn/chuong-trinh-elitech-cong-nghe-thong-tin-viet-phap.html
Chương trình Elitech An toàn không gian số (mã tuyển sinh: IT-E15). Xem chi tiết tại đây
https://soict.hust.edu.vn/chuong-trinh-elitech-an-toan-khong-gian-so-cyber-security-it-e15.html.
Các chương trình đào tạo đặc biệt của Trường:
Chương trình Cử nhân Tài năng Khoa học máy tính: dành cho những sinh viên xuất sắc nhất, có chí hướng trở thành nhà nghiên cứu, giảng viên và chuyên gia giỏi. Chương trình tuyển sinh viên theo diện tuyển thẳng (đạt giải Olympic quốc gia, quốc tế), hoặc thi tuyển từ các sinh viên đỗ điểm cao vào Trường. Chi tiết chương trình xem tại đây
https://soict.hust.edu.vn/chuong-trinh-dao-tao-elitech-tai-nang-khoa-hoc-may-tinh.html.
Chương trình Kỹ sư Trí tuệ nhân tạo Tạo sinh (+1.5 năm): Là chương trình đào tạo đầu tiên tại Việt Nam định hướng chuyên sâu về Gen AI. Với mục tiêu đào tạo những kỹ sư trí tuệ nhân tạo tạo sinh chất lượng cao, chương trình kỹ sư GenAI sẽ mang lại hành trang vững chắc và cơ hội nghề nghiệp rộng mở cho các bạn trẻ đam mê công nghệ. Chi tiết chương trình xem
tại đây https://soict.hust.edu.vn/genai/.",Chương trình hệ đại học
34d1d531-1cbc-4d61-9f78-9fae3edcfc60,"Giới thiệu chung SOICT: Mô hình đào tạo
Sinh viên ĐHBK Hà Nội có nhiều lựa chọn về ngành học và hướng phát triển nghề nghiệp theo nguyện vọng và năng lực cá nhân. Mô hình đào tạo của Trường được đổi mới theo hướng tích hợp, linh hoạt và hội nhập quốc tế, hỗ trợ tốt nhất cho người học phát triển sự nghiệp của mình.
Hệ Cử nhân (4 năm) được thiết kế cho đối tượng sinh viên có định hướng muốn tham gia sớm vào thị trường lao động. Học hệ này, sinh viên được trang bị đầy đủ các kiến thức nền tảng cơ bản, kiến thức cơ sở chuyên môn vững chắc để có thể thích ứng tốt với lĩnh vực rộng của ngành học, chú trọng đến năng lực thiết kế và phát triển hệ thống, sản phẩm, giải pháp kỹ thuật, và kỹ năng chuyên môn phù hợp với nhu cầu của các doanh nghiệp trong lĩnh vực ICT trong và ngoài nước. Hệ đào tạo này được thiết kế nhằm giải quyết bài toán thiếu trầm trọng nguồn nhân lực ICT chất lượng cao trong và ngoài nước.
Tuy nhiên nếu muốn phát triển nghề nghiệp theo hướng trở thành các chuyên gia không những được trang bị tốt kiến thức nền tảng, mà còn được trang bị các kiến thức và kỹ năng chuyên sâu theo các định hướng hẹp, sinh viên có thể lựa chọn loại hình đào tạo tích hợp: cử nhân + kỹ sư; hoặc cử nhân + thạc sỹ.
Sản phẩm đầu ra của các chương trình kỹ sư và thạc sỹ này sẽ là các chuyên gia có năng lực làm chủ và phát triển công nghệ, góp phần tạo ra các sản phẩm và dịch vụ có hàm lượng khoa học và công nghệ cao. Các chuyên gia này có thể làm tại các bộ phận nghiên cứu và phát triển (R&D) của các tập đoàn, các công ty trong và ngoài nước; có thể tự khởi nghiệp (startup) để thương mại hóa các sản phẩm nghiên cứu khoa học của mình; hoặc có thể tiếp tục phát triển sự nghiệp học vấn (tiến sỹ) để trở thành những chuyên gia đầu ngành trong lĩnh vực.","Giới thiệu chung SOICT: Mô hình đào tạo
Sinh viên ĐHBK Hà Nội có nhiều lựa chọn về ngành học và hướng phát triển nghề nghiệp theo nguyện vọng và năng lực cá nhân. Mô hình đào tạo của Trường được đổi mới theo hướng tích hợp, linh hoạt và hội nhập quốc tế, hỗ trợ tốt nhất cho người học phát triển sự nghiệp của mình.
Hệ Cử nhân (4 năm) được thiết kế cho đối tượng sinh viên có định hướng muốn tham gia sớm vào thị trường lao động. Học hệ này, sinh viên được trang bị đầy đủ các kiến thức nền tảng cơ bản, kiến thức cơ sở chuyên môn vững chắc để có thể thích ứng tốt với lĩnh vực rộng của ngành học, chú trọng đến năng lực thiết kế và phát triển hệ thống, sản phẩm, giải pháp kỹ thuật, và kỹ năng chuyên môn phù hợp với nhu cầu của các doanh nghiệp trong lĩnh vực ICT trong và ngoài nước. Hệ đào tạo này được thiết kế nhằm giải quyết bài toán thiếu trầm trọng nguồn nhân lực ICT chất lượng cao trong và ngoài nước.
Tuy nhiên nếu muốn phát triển nghề nghiệp theo hướng trở thành các chuyên gia không những được trang bị tốt kiến thức nền tảng, mà còn được trang bị các kiến thức và kỹ năng chuyên sâu theo các định hướng hẹp, sinh viên có thể lựa chọn loại hình đào tạo tích hợp: cử nhân + kỹ sư; hoặc cử nhân + thạc sỹ.
Sản phẩm đầu ra của các chương trình kỹ sư và thạc sỹ này sẽ là các chuyên gia có năng lực làm chủ và phát triển công nghệ, góp phần tạo ra các sản phẩm và dịch vụ có hàm lượng khoa học và công nghệ cao. Các chuyên gia này có thể làm tại các bộ phận nghiên cứu và phát triển (R&D) của các tập đoàn, các công ty trong và ngoài nước; có thể tự khởi nghiệp (startup) để thương mại hóa các sản phẩm nghiên cứu khoa học của mình; hoặc có thể tiếp tục phát triển sự nghiệp học vấn (tiến sỹ) để trở thành những chuyên gia đầu ngành trong lĩnh vực.",Giới thiệu chung SOICT
cab5cdb6-7942-4688-b0de-4db566194bd3,"Giới thiệu chung SOICT: Trong hai chương trình tích hợp thì:
Cử nhân-Kỹ sư
(*)(180 tín chỉ, tương đương 5,5 năm): chương trình kỹ sư hướng tới việc trang bị các kiến thức chuyên môn hẹp, sâu, cập nhật, và theo
định hướng công nghiệp và ứng dụng, để sinh viên sau khi ra Trường có thể sẵn sàng đảm nhiệm các vị trí kỹ thuật then chốt tại các công ty, tập đoàn công nghệ trong và ngoài nước. Danh vị Kỹ sư Bách khoa đã có truyền thống đáng tự hào hơn 60 năm qua. Kỹ sư Bách khoa nói chung, và Kỹ sư CNTT Bách khoa nói riêng đang đảm nhiệm nhiều vị trí quan trọng tại các tập đoàn, tổng công ty, và các cơ quan quản lý, các tổ chức nghề nghiệp quan trọng trong nước và quốc tế. Để phù hợp với
“Nghị định số 99/2019/NĐ-CP của Chính phủ : Quy định chi tiết và hướng dẫn thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật Giáo dục đại học”
, theo đó Kỹ sư và Thạc sỹ cùng tương đương trình độ bậc 7 theo Khung trình độ quốc gia, Nhà trường đã xây dựng lại mô hình đào tạo Kỹ sư theo mô hình mới, chương trình cử nhân – kỹ sư gồm 180 tín chỉ, tương đương 5.5 năm, và Kỹ sư 180 tín chỉ này thuộc Hệ Sau Đại học;","Giới thiệu chung SOICT: Trong hai chương trình tích hợp thì:
Cử nhân-Kỹ sư
(*)(180 tín chỉ, tương đương 5,5 năm): chương trình kỹ sư hướng tới việc trang bị các kiến thức chuyên môn hẹp, sâu, cập nhật, và theo
định hướng công nghiệp và ứng dụng, để sinh viên sau khi ra Trường có thể sẵn sàng đảm nhiệm các vị trí kỹ thuật then chốt tại các công ty, tập đoàn công nghệ trong và ngoài nước. Danh vị Kỹ sư Bách khoa đã có truyền thống đáng tự hào hơn 60 năm qua. Kỹ sư Bách khoa nói chung, và Kỹ sư CNTT Bách khoa nói riêng đang đảm nhiệm nhiều vị trí quan trọng tại các tập đoàn, tổng công ty, và các cơ quan quản lý, các tổ chức nghề nghiệp quan trọng trong nước và quốc tế. Để phù hợp với
“Nghị định số 99/2019/NĐ-CP của Chính phủ : Quy định chi tiết và hướng dẫn thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật Giáo dục đại học”
, theo đó Kỹ sư và Thạc sỹ cùng tương đương trình độ bậc 7 theo Khung trình độ quốc gia, Nhà trường đã xây dựng lại mô hình đào tạo Kỹ sư theo mô hình mới, chương trình cử nhân – kỹ sư gồm 180 tín chỉ, tương đương 5.5 năm, và Kỹ sư 180 tín chỉ này thuộc Hệ Sau Đại học;",Giới thiệu chung SOICT
75016456-64ad-4829-8137-f5d5027fa3e4,"Giới thiệu chung SOICT: Chương trình tích hợp Cử nhân-Thạc sỹ (5,5 năm): chương trình thạc sỹ hướng tới việc trang bị các kiến thức chuyên môn hẹp, sâu, cập nhật, và theo
định hướng nghiên cứu và học thuậtđể sinh viên sau khi ra Trường có thể làm việc tại các bộ phận nghiên cứu – phát triển (R&D) của các công ty, tập đoàn công nghệ trong và ngoài nước. Ngoài ra, sinh viên có định hướng học lên nghiên cứu sinh, trở thành tiến sỹ, chuyên gia đầu ngành thì chương trình cử nhân – thạc sỹ là sự lựa chọn đúng đắn. Chương trình được thiết kế để đào tạo sinh viên thông qua nghiên cứu tại các hệ thống phòng thí nghiệm chuyên sâu của Trường, đảm bảo sinh viên được tiếp cận với các các kiến thức mới nhất, cập nhật theo xu hướng phát triển của Thế giới.
(*)Với các chương trình tuyển sinh trước năm 2020 (từ K64 trở về trước sẽ tồn tại song song hai chương trình Kỹ sư 162 tín chỉ (5 năm, thuộc Hệ Đại học), và Kỹ sư 180 tín chỉ (5.5 năm, thuộc Hệ Sau đại học), sinh viên trong quá trình học sẽ chọn lựa chương trình phù hợp.","Giới thiệu chung SOICT: Chương trình tích hợp Cử nhân-Thạc sỹ (5,5 năm): chương trình thạc sỹ hướng tới việc trang bị các kiến thức chuyên môn hẹp, sâu, cập nhật, và theo
định hướng nghiên cứu và học thuậtđể sinh viên sau khi ra Trường có thể làm việc tại các bộ phận nghiên cứu – phát triển (R&D) của các công ty, tập đoàn công nghệ trong và ngoài nước. Ngoài ra, sinh viên có định hướng học lên nghiên cứu sinh, trở thành tiến sỹ, chuyên gia đầu ngành thì chương trình cử nhân – thạc sỹ là sự lựa chọn đúng đắn. Chương trình được thiết kế để đào tạo sinh viên thông qua nghiên cứu tại các hệ thống phòng thí nghiệm chuyên sâu của Trường, đảm bảo sinh viên được tiếp cận với các các kiến thức mới nhất, cập nhật theo xu hướng phát triển của Thế giới.
(*)Với các chương trình tuyển sinh trước năm 2020 (từ K64 trở về trước sẽ tồn tại song song hai chương trình Kỹ sư 162 tín chỉ (5 năm, thuộc Hệ Đại học), và Kỹ sư 180 tín chỉ (5.5 năm, thuộc Hệ Sau đại học), sinh viên trong quá trình học sẽ chọn lựa chương trình phù hợp.",Giới thiệu chung SOICT
3a5c49d6-be87-4d15-8e1b-868ff74085a1,"Giới thiệu chung SOICT: Các ngành đào tạo:
Hiện tại, Trường cung cấp chương trình đào tạo dựa trên 3 ngành trụ cột chính:
Ngành Khoa học Máy tính (KHMT): cung cấp các nội dung đào tạo liên quan đến máy tính, như toán rời rạc, giải thuật, cấu trúc dữ liệu, kỹ thuật lập trình, cơ sở dữ liệu, kỹ thuật phần mềm, xử lý ngôn ngữ tự nhiên… Học ngành này, sinh viên sẽ có khả năng làm chủ mọi khâu để phát triển một phần mềm, một chương trình, và một hệ thống thông tin xử lý các vấn đề trong thực tiễn, ví dụ: phần mềm quản lý nhân sự, phần mềm quản trị doanh nghiệp ERP, trò chơi video, website thương mại trực tuyến, phần mềm nhận dạng chữ viết…
Ngành Kỹ thuật Máy tính (KTMT): cung cấp các nội dung đào tạo giúp người học có kiến thức chuyên môn về cả phần cứng và phần mềm máy tính. Ngành Kỹ thuật Máy tính là lai giữa ngành Khoa học Máy tính (nghiêng về phần mềm), và ngành Kỹ thuật Điện-Điện tử (nghiêng về phần cứng). Ngành KTMT hướng tới việc phát triển các hệ thống tính toán tích hợp tối ưu giữa phần cứng và phần mềm. Nghĩa là, học về ngành này, sinh viên sẽ nắm được cả về cách viết phần mềm, làm phần cứng, và làm thế nào để tích hợp phần mềm và phần cứng này thành một hệ thống tối ưu để giải quyết một vấn đề thực tiễn. Ví dụ: phát triển camera thông minh truyền hình ảnh về trung tâm dữ liệu: kỹ sư phải làm phần cứng (tích hợp các mô-đun thu nhận ảnh, mô-đun vi xử lý, mô-đun truyền thông), viết phần mềm thu nhận hình ảnh, xử lý hình ảnh, và truyền hình ảnh về trung tâm.
Ngành Khoa học Dữ liệu và Trí tuệ Nhân tạo (KHDL&TTNT): cung cấp các nội dung đào tạo giúp người học có kiến thức chuyên môn về xử lý, phân tích, biểu diễn dữ liệu; cũng như phát triển các hệ thống trí tuệ nhân tạo. Sự bùng nổ của Internet và các hệ thống thu thập dữliệu đã tạo ra các nguồn dữ liệu khổng lồ (big data), mà nếu được khai thác hợp lý sẽ tạo ra những thông tin vô cùng giá trị, ví dụ: dự báo nhu cầu nhân lực ngành KHMT, KTMT tại Việt Nam và trên Thế giới; dự báo điểm chuẩn thi đại học các trường theo từng ngành… Vì vậy, các lĩnh vực xử lý dữ liệu, vốn nằm trong KHMT đã tách ra để tạo thành một ngành mới: Khoa học Dữ liệu (Data Science). Học về KHDL, sinh viên sẽ được trang bị kiến thức về toán (đặc biệt về xác suất, thống kê), khoa học máy tính (đặc biệt về học máy, khai phá dữ liệu, trí tuệ nhân tạo…), và kiến thức chuyên môn, nghiệp vụ của một số lĩnh vực để có thể trở thành các nhà khoa học dữ liệu. Triển vọng nghề nghiệp của sinh viên ngành KHDL không chỉ dừng lại ở việc làm cho các các công ty về CNTT, mà trong kỷ nguyên Công nghiệp 4.0 này, sinh viên ra trường còn có thể làm việc tại các bộ phận nghiệp vụ chuyên môn sâu của mọi tổ chức có nhu cầu khai thác dữ liệu, như: tài chính – ngân hàng – bảo hiểm – chứng khoán, phân tích thị trường, tư vấn-dự báo-hoạch định chính sách…","Giới thiệu chung SOICT: Các ngành đào tạo:
Hiện tại, Trường cung cấp chương trình đào tạo dựa trên 3 ngành trụ cột chính:
Ngành Khoa học Máy tính (KHMT): cung cấp các nội dung đào tạo liên quan đến máy tính, như toán rời rạc, giải thuật, cấu trúc dữ liệu, kỹ thuật lập trình, cơ sở dữ liệu, kỹ thuật phần mềm, xử lý ngôn ngữ tự nhiên… Học ngành này, sinh viên sẽ có khả năng làm chủ mọi khâu để phát triển một phần mềm, một chương trình, và một hệ thống thông tin xử lý các vấn đề trong thực tiễn, ví dụ: phần mềm quản lý nhân sự, phần mềm quản trị doanh nghiệp ERP, trò chơi video, website thương mại trực tuyến, phần mềm nhận dạng chữ viết…
Ngành Kỹ thuật Máy tính (KTMT): cung cấp các nội dung đào tạo giúp người học có kiến thức chuyên môn về cả phần cứng và phần mềm máy tính. Ngành Kỹ thuật Máy tính là lai giữa ngành Khoa học Máy tính (nghiêng về phần mềm), và ngành Kỹ thuật Điện-Điện tử (nghiêng về phần cứng). Ngành KTMT hướng tới việc phát triển các hệ thống tính toán tích hợp tối ưu giữa phần cứng và phần mềm. Nghĩa là, học về ngành này, sinh viên sẽ nắm được cả về cách viết phần mềm, làm phần cứng, và làm thế nào để tích hợp phần mềm và phần cứng này thành một hệ thống tối ưu để giải quyết một vấn đề thực tiễn. Ví dụ: phát triển camera thông minh truyền hình ảnh về trung tâm dữ liệu: kỹ sư phải làm phần cứng (tích hợp các mô-đun thu nhận ảnh, mô-đun vi xử lý, mô-đun truyền thông), viết phần mềm thu nhận hình ảnh, xử lý hình ảnh, và truyền hình ảnh về trung tâm.
Ngành Khoa học Dữ liệu và Trí tuệ Nhân tạo (KHDL&TTNT): cung cấp các nội dung đào tạo giúp người học có kiến thức chuyên môn về xử lý, phân tích, biểu diễn dữ liệu; cũng như phát triển các hệ thống trí tuệ nhân tạo. Sự bùng nổ của Internet và các hệ thống thu thập dữliệu đã tạo ra các nguồn dữ liệu khổng lồ (big data), mà nếu được khai thác hợp lý sẽ tạo ra những thông tin vô cùng giá trị, ví dụ: dự báo nhu cầu nhân lực ngành KHMT, KTMT tại Việt Nam và trên Thế giới; dự báo điểm chuẩn thi đại học các trường theo từng ngành… Vì vậy, các lĩnh vực xử lý dữ liệu, vốn nằm trong KHMT đã tách ra để tạo thành một ngành mới: Khoa học Dữ liệu (Data Science). Học về KHDL, sinh viên sẽ được trang bị kiến thức về toán (đặc biệt về xác suất, thống kê), khoa học máy tính (đặc biệt về học máy, khai phá dữ liệu, trí tuệ nhân tạo…), và kiến thức chuyên môn, nghiệp vụ của một số lĩnh vực để có thể trở thành các nhà khoa học dữ liệu. Triển vọng nghề nghiệp của sinh viên ngành KHDL không chỉ dừng lại ở việc làm cho các các công ty về CNTT, mà trong kỷ nguyên Công nghiệp 4.0 này, sinh viên ra trường còn có thể làm việc tại các bộ phận nghiệp vụ chuyên môn sâu của mọi tổ chức có nhu cầu khai thác dữ liệu, như: tài chính – ngân hàng – bảo hiểm – chứng khoán, phân tích thị trường, tư vấn-dự báo-hoạch định chính sách…",Giới thiệu chung SOICT
2ea9a256-f953-45d6-a695-db4f562eef09,"Học bổng doanh nghiệp: Điều 1. Phạm vi điều chỉnh và đối tượng áp dụng
1. Quy định này quy định về đối tượng, tiêu chuẩn, tiêu chí, nguyên tắc, quy 
trình thủ tục, hồ sơ đăng ký, xét cấp học bổng tài trợ; trách nhiệm của các đơn vị liên 
quan trong việc xét, cấp học bổng tài trợ cho sinh viên ĐHBK Hà Nội.
2. Quy định này áp dụng trong trường hợp nhà tài trợ ủy quyền cho ĐHBK Hà 
Nội hoặc đơn vị đào tạo xét, cấp học bổng cho sinh viên hệ đại học chính quy văn 
bằng thứ nhất đang học tập tại ĐHBK Hà Nội.","Học bổng doanh nghiệp: Điều 1. Phạm vi điều chỉnh và đối tượng áp dụng
1. Quy định này quy định về đối tượng, tiêu chuẩn, tiêu chí, nguyên tắc, quy 
trình thủ tục, hồ sơ đăng ký, xét cấp học bổng tài trợ; trách nhiệm của các đơn vị liên 
quan trong việc xét, cấp học bổng tài trợ cho sinh viên ĐHBK Hà Nội.
2. Quy định này áp dụng trong trường hợp nhà tài trợ ủy quyền cho ĐHBK Hà 
Nội hoặc đơn vị đào tạo xét, cấp học bổng cho sinh viên hệ đại học chính quy văn 
bằng thứ nhất đang học tập tại ĐHBK Hà Nội.",Học bổng doanh nghiệp
a1176310-01cc-456f-af0c-aaa4d5e90c51,"Học bổng doanh nghiệp: Điều 2 Giải thích từ ngữ
1. Học bổng tài trợ là học bổng do các tổ chức, cá nhân trong và ngoài nước tài 
trợ cho sinh viên Đại học Bách khoa Hà Nội (viết tắt là ĐHBK Hà Nội hoặc Đại học).
2. Nhà tài trợ là tổ chức hoặc cá nhân tài trợ học bổng cho sinh viên ĐHBK Hà 
Nội.
3. Đơn vị đào tạo là Trường hoặc Khoa quản ngành thuộc ĐHBK Hà Nội.
4. Văn bản tài trợ học bổng là thỏa thuận/văn bản hợp tác về việc cấp học bổng 
giữa ĐHBK Hà Nội/đơn vị đào tạo với nhà tài trợ hoặc thông báo của nhà tài trợ về
việc cấp học bổng cho sinh viên ĐHBK Hà Nội.
5. Học bổng tài trợ do Đại học khai thác là học bổng được cấp thông qua các 
văn bản tài trợ học bổng với ĐHBK Hà Nội.
6. Học bổng tài trợ do đơn vị đào tạo khai thác là học bổng được cấp thông qua 
các văn bản tài trợ học bổng với đơn vị đào tạo.","Học bổng doanh nghiệp: Điều 2 Giải thích từ ngữ
1. Học bổng tài trợ là học bổng do các tổ chức, cá nhân trong và ngoài nước tài 
trợ cho sinh viên Đại học Bách khoa Hà Nội (viết tắt là ĐHBK Hà Nội hoặc Đại học).
2. Nhà tài trợ là tổ chức hoặc cá nhân tài trợ học bổng cho sinh viên ĐHBK Hà 
Nội.
3. Đơn vị đào tạo là Trường hoặc Khoa quản ngành thuộc ĐHBK Hà Nội.
4. Văn bản tài trợ học bổng là thỏa thuận/văn bản hợp tác về việc cấp học bổng 
giữa ĐHBK Hà Nội/đơn vị đào tạo với nhà tài trợ hoặc thông báo của nhà tài trợ về
việc cấp học bổng cho sinh viên ĐHBK Hà Nội.
5. Học bổng tài trợ do Đại học khai thác là học bổng được cấp thông qua các 
văn bản tài trợ học bổng với ĐHBK Hà Nội.
6. Học bổng tài trợ do đơn vị đào tạo khai thác là học bổng được cấp thông qua 
các văn bản tài trợ học bổng với đơn vị đào tạo.",Học bổng doanh nghiệp
